title,company,experience,location,description
Senior Data Engineer,Yassir,3 - 8 Years,Cairo - Egypt,"Build centralized data lake on GCP, develop SPARK pipelines, ensure data quality, collaborate with teams, and possess strong skills in PySpark and SQL."
Data Engineer (Mid/Senior),Yassir,3 - 8 Years,Algiers - Algeria,"Build centralized data lakes, develop data processing pipelines, ensure data quality, and collaborate with teams using GCP and PySpark."
Data Engineer,Devoteam International,5 - 10 Years,Riyadh - Saudi Arabia,"Design and maintain data quality frameworks, collaborate with teams, conduct profiling, and develop automated checks while mentoring junior engineers."
Data Engineer/Quant Dev,Client of Durlston Partners,1 - 7 Years,Dubai - United Arab Emirates,"The role involves onboarding datasets, data cleaning, streaming, analysis, and requires skills in Python, SQL, and cloud platforms."
Data Engineer,Devoteam Middle East,5 - 7 Years,Riyadh - Saudi Arabia,"Design and maintain data pipelines, ensure data quality, collaborate with teams, and utilize data governance tools and techniques."
Data Engineer,Jobs for Humanity,1 - 7 Years,Eastern Province - Saudi Arabia,"Develop and maintain scalable data infrastructure using Python, SQL, and cloud services for efficient data processing and machine learning applications."
Senior Data Engineer,Client of Durlston Partners,6 - 8 Years,Dubai - United Arab Emirates,"Acquire and ingest datasets, design data pipelines, and collaborate with teams using Python, SQL, and modern data warehousing technologies."
Data Engineer,WAVZ for Digital Transformation,5 - 7 Years,Cairo - Egypt,"Design and implement data pipelines, optimize data processing, and mentor junior engineers while ensuring data quality and governance."
Senior Data Engineer,GSSTech Group,8 - 10 Years,Dubai - United Arab Emirates,"Collaborate with teams to design scalable data pipelines, optimize performance, and ensure data quality while supporting machine learning initiatives."
Senior Data Engineer,Uniparticle,5 - 7 Years,Cairo - Egypt,"Design and implement scalable data ingestion and transformation pipelines, integrating multiple data sources while ensuring data quality and performance optimization."
Bioinformatics Data Engineer,GenBio AI,1 - 7 Years,Abu Dhabi - United Arab Emirates,"The role involves acquiring, processing, and analyzing biological data, ensuring quality and compliance, while collaborating with scientists and engineers."
Senior Data Engineer,Capgemini,5 - 7 Years,Morocco - Morocco,"Design and optimize data architectures on Databricks or Google Cloud Platform, implement data pipelines, and ensure data quality and governance."
Data Engineer,Capgemini,5 - 7 Years,Morocco - Morocco,"Contribute to data integration solutions, develop data pipelines, and collaborate with teams using Agile methodologies; requires proficiency in programming and cloud platforms."
Senior Data Engineer,Sana Commerce,8 - 10 Years,Alexandria - Egypt,"Design and maintain scalable data pipelines, optimize data infrastructure, and develop AI-driven solutions using Azure Data Services and Databricks."
Senior Data Engineer - Data Platform,Salla,4 - 7 Years,Makkah Al Mukarramah - Saudi Arabia,"Design and maintain scalable ETL/ELT pipelines, optimize data infrastructure, implement CI/CD workflows, and manage data quality and architecture."
Data Engineer,AtliQ Technologies,3 - 5 Years,Qatar - Qatar,"Design and optimize data pipelines using Azure tools, ensure data quality, and support analytics while collaborating with engineers and stakeholders."
Senior Data Engineer,GSSTech Group,8 - 13 Years,Dubai - United Arab Emirates,"Design and optimize scalable data pipelines using Python and PySpark, ensuring data quality and collaborating with cross-functional teams in an Agile environment."
Data Engineer - Systematic Commodities Hedge Fund,Moreton Capital Partners,3 - 5 Years,"Abu Dhabi - United Arab Emirates , Dubai - United Arab Emirates","Design and maintain data pipelines, build ETL workflows, and collaborate with researchers, requiring strong Python skills and understanding of data systems."
Senior Data Engineer,Easygenerator,6 - 8 Years,Alexandria - Egypt,Design and optimize scalable data pipelines and ETL workflows using Azure and Databricks for real-time processing and AI-driven solutions.
Data Engineer Lead,BlackStone eIT,7 - 12 Years,Amman - Jordan,"Manage data engineering team, design scalable data solutions, oversee data pipelines, ensure data governance, and communicate strategies to stakeholders."
Senior Data Engineer Informatica,CoorB,5 - 7 Years,Riyadh - Saudi Arabia,"Design and maintain ETL pipelines using Informatica, ensuring data quality and governance while collaborating with teams to deliver structured datasets."
Senior Data Engineer,Silver Edge Arabia,5 - 7 Years,Eastern Province - Saudi Arabia,"The role involves optimizing data lakes for GenAI, designing ETL processes, collaborating with Data Scientists, and requires expertise in Python, SQL, and big data frameworks."
Senior Freelance Data Engineer – Front-End and Data,Client of Novancy One,3 - 8 Years,Morocco - Morocco,"Seeking a confirmed Data Engineer with expertise in Azure services, user interface development, and ability to propose technical solutions."
Senior Databricks Data Engineer,Luxoft,5 - 7 Years,United Arab Emirates - United Arab Emirates,"Develop and maintain scalable data pipelines using Databricks, PySpark, and SQL, ensuring data accuracy and optimizing performance for investment analytics."
Data Engineer (Fabric),Sucafina,1 - 7 Years,Lebanon - Lebanon,"Build and manage Lakehouses and Data Warehouses, develop Data Pipelines, optimize performance, enforce governance, and collaborate with stakeholders using Microsoft Fabric."
Senior Data Engineer,Sana Commerce,6 - 11 Years,Alexandria - Egypt,"Design and maintain scalable data pipelines, develop real-time processing frameworks, optimize data storage, and support eCommerce data solutions."
Senior Data Engineer,Client of Involved Solutions,4 - 9 Years,Dubai - United Arab Emirates,"Design and optimize scalable data pipelines using tools like dbt and Apache Kafka, while implementing DataOps practices and collaborating with teams to deliver data products."
Principal Data Engineer,Integrant Inc,6 - 8 Years,Egypt - Egypt,"Lead design and development of data analytical solutions using Microsoft technologies, mentor junior engineers, and optimize data architectures including Data Lakes and Warehouses."
Senior Data Engineer,Easygenerator,8 - 13 Years,Alexandria - Egypt,"Design and maintain scalable data pipelines, develop real-time processing frameworks, and optimize data solutions for eCommerce applications using Azure and Databricks."
Data Engineer,Teliolabs Communication Private Limited,8 - 12 Years,Dubai - United Arab Emirates,"Seeking a skilled Data Engineer to develop data pipelines, implement ETL processes, and optimize workflows using AWS services and open-source tools."
Sr. Data Engineer,aspire,5 - 7 Years,Jordan - Jordan,"Design and implement ETL pipelines, optimize SQL queries, and develop data workflows using Python and cloud data warehouses like Snowflake."
Engineer/Big Data Engineer,Capgemini,5 - 7 Years,Casablanca - Morocco,"Contribute to innovative digital solutions by designing data pipelines with Scala, PySpark, and Hadoop, ensuring data quality and collaboration with teams."
Senior Data Engineer - Location: Alexandria,Sana Commerce,8 - 10 Years,Cairo - Egypt,"Design and optimize Azure and Databricks-based data infrastructure, develop scalable ETL pipelines, and contribute to AI/ML-powered solutions."
Senior Data Engineer (ML/AI),Sana Commerce,8 - 10 Years,Cairo - Egypt,"Design and maintain data pipelines for machine learning, ensuring data quality and governance while collaborating with data scientists and engineers."
Senior Data Engineer (ML/AI),Sana Commerce,8 - 10 Years,Alexandria - Egypt,"Design and maintain data pipelines for machine learning, ensuring data quality and governance while collaborating with data scientists and engineers."
Data Engineer (PySpark),GSSTech Group,3 - 8 Years,Dubai - United Arab Emirates,"Design and maintain ETL pipelines using PySpark on Cloudera, ensuring data quality, performance optimization, and collaboration with stakeholders."
Data Engineer (PySpark & Data Modeling),GSSTech Group,3 - 8 Years,Dubai - United Arab Emirates,"Design and maintain scalable data pipelines using PySpark, perform data modeling, and ensure data quality while collaborating with stakeholders."
Data Engineer,Datascience,3 - 5 Years,Giza - Egypt,"Design and maintain scalable data pipelines, manage data warehouses, and ensure data quality while collaborating with data scientists using big data technologies."
Data Engineer,Capgemini,3 - 5 Years,Morocco - Morocco,"Design and develop scalable data pipelines, optimize data systems, and collaborate with teams using Python, SQL, and Big Data technologies."
Data Engineer,QIC digital hub,3 - 5 Years,Doha - Qatar,"Design and maintain scalable data pipelines using Apache Airflow and Google Cloud Platform, ensuring data quality and collaborating with cross-functional teams."
Senior Data Engineer (Data & AI),Sifi,5 - 10 Years,Riyadh - Saudi Arabia,"Design and own scalable data models and cloud data warehouse, ensuring data quality and compliance while supporting AI-driven initiatives."
Data Engineer (3-5 Yrs),Sol Analytics,3 - 5 Years,Dubai - United Arab Emirates,"Architect and optimize data storage solutions, develop ETL processes, ensure data governance, and provide leadership in data engineering initiatives."
Senior Data Engineer (ML/AI),Easygenerator,8 - 13 Years,Alexandria - Egypt,"Design and maintain data pipelines for machine learning, ensuring data quality and governance while collaborating with data scientists and engineers."
Data Engineer,Institute Of Foundation Models,1 - 7 Years,Abu Dhabi - United Arab Emirates,"Specializing in Natural Language Processing, the role involves data collection, web crawling, and pipeline development, requiring a Bachelor's degree in a technical field."
Data Engineer Informatica,NEXEL PARTNERS,3 - 5 Years,Egypt - Egypt,"Develop and optimize ETL pipelines, manage data integration, ensure data quality, and support governance initiatives with strong Informatica and SQL expertise."
Data Engineer,Capgemini,1 - 7 Years,Morocco - Morocco,"Conduct data audits, perform data modeling, ensure data quality, support migration, and require strong analytical and problem-solving skills."
Data Engineer (Microsoft Fabric),Ontrac Solutions,3 - 8 Years,Cairo - Egypt,"Design and develop data pipelines using Microsoft Fabric, optimize data storage, implement security controls, and collaborate with data scientists for telecom and fintech data."
Cloudera Data Engineer,Midis Group,2 - 5 Years,Dubai - United Arab Emirates,"Seeking an experienced Cloudera Data Engineer to build big data pipelines, optimize workflows, and ensure data governance using Cloudera CDP, Hadoop, and Spark."
Data Engineer - X Delivery,The Boston Consulting Group,1 - 7 Years,Morocco - Morocco,"Collaborate with teams to deliver data engineering solutions using Python, cloud platforms, and databases while ensuring effective communication and analytics support."
Senior Data Engineer - X Delivery,The Boston Consulting Group,4 - 6 Years,Casablanca - Morocco,"Collaborate with teams to design and develop data engineering solutions using Python, cloud platforms, and big data tools while ensuring effective communication."
Senior Data Engineer,Client of imploy,6 - 8 Years,Dubai - United Arab Emirates,"Design and maintain scalable ETL pipelines, optimize data architectures, ensure data quality, and mentor junior engineers in a remote environment."
Data Engineer,Devoteam Tunisia,4 - 6 Years,Tunisia - Tunisia,"Design and maintain datasets in BigQuery, develop SQL queries, implement ELT/ETL pipelines, and ensure data quality with a Master's degree in computer science."
Data Engineer,Client of Vurke,3 - 5 Years,United Arab Emirates - United Arab Emirates,"Design and implement ELT or ETL pipelines using Airflow, ensure data quality, and manage schemas with strong SQL and Python skills."
Associate Staff Engineer (Data Engineer - Python),Nagarro,5 - 7 Years,Abu Dhabi - United Arab Emirates,"Design and maintain ETL processes, manage complex datasets, and collaborate with engineers using Python and data governance best practices."
Senior Data Engineer - OLX Lebanon,Dubizzle Mena,5 - 7 Years,Lebanon - Lebanon,"Responsible for designing data warehouse models, integrating raw data, developing ETL processes, and collaborating with cross-functional teams to deliver data-driven solutions."
Senior Data Engineer,Global Brands Group Holding Limited (GBG),4 - 5 Years,Cairo - Egypt,"Design and develop data warehousing, ETL processes, and analytics solutions while ensuring data security and improving technical skills."
Data Engineer (PySpark),GSSTech Group,5 - 7 Years,Dubai - United Arab Emirates,"Design and maintain scalable ETL pipelines using PySpark, ensure data quality, and optimize performance on Cloudera Data Platform."
Data Engineer,Smart Sense Services,1 - 7 Years,Dubai - United Arab Emirates,"Responsible for building and maintaining data pipelines, ensuring data quality, and collaborating with analysts using cloud platforms and programming languages."
Manager Data Engineering,DXC Technology,7 - 9 Years,Riyadh - Saudi Arabia,"Manage data engineering projects, develop data pipelines, ensure data quality, and support team collaboration while possessing relevant qualifications and experience."
Data Engineer,SOUM,2 - 7 Years,Egypt - Egypt,"Design and maintain scalable data pipelines, ensuring data quality and integration using Python, SQL, and cloud platforms while collaborating with cross-functional teams."
Data Engineer Specialist,Saudi Pro League (SPL),5 - 7 Years,Riyadh - Saudi Arabia,"The role involves designing and maintaining data infrastructure, developing ETL pipelines, ensuring data quality, and supporting business intelligence initiatives using cloud te..."
"ETIC, Data Engineer, Manager",PricewaterhouseCoopers,7 - 12 Years,Egypt - Egypt,"Lead design and optimization of data platforms on Azure and Databricks, mentoring engineers and ensuring alignment with business strategies and data governance."
"ETIC, Data Engineer Support, Senior Associate",PricewaterhouseCoopers,3 - 8 Years,Egypt - Egypt,"Provide production support for Azure data pipelines, troubleshoot ETL processes, and develop automation tools using Python or PowerShell."
"ETIC, Azure Data Engineer, Senior Associate",PricewaterhouseCoopers,5 - 10 Years,Egypt - Egypt,"The role involves building data pipelines, writing SQL queries, ensuring data integrity, and collaborating with stakeholders in Azure Cloud environments."
"ETIC, Azure Data Engineer, Associate",PricewaterhouseCoopers,2 - 7 Years,Egypt - Egypt,"Build and maintain scalable data pipelines, manage relational databases, mentor junior engineers, and ensure data quality using Python and SQL."
Fabric Data Engineer - Senior Associate,PricewaterhouseCoopers,4 - 9 Years,Egypt - Egypt,"Design and implement scalable data solutions using Microsoft Fabric and Azure services, focusing on data pipelines, analytics, and modern data architecture."
Data Engineer (Lead / Senior / Mid),Xenon7,1 - 7 Years,Egypt - Egypt,"Join a passionate Data Engineering Team to design, develop, and optimize data pipelines using modern technologies like Apache Spark and Kafka."
"ETIC, AWS Data Engineer, Senior Associate",PricewaterhouseCoopers,3 - 8 Years,Egypt - Egypt,"Design and optimize data pipelines on AWS, utilizing AWS Glue and Amazon Redshift, requiring proficiency in Python, SQL, and data governance."
AVP Data Engineering Lead,ALDAR Properties PJSC,7 - 12 Years,Abu Dhabi - United Arab Emirates,"Architect and optimize scalable data pipelines using Python, Spark, and Databricks; develop AI solutions and cloud-native services on Microsoft Azure."
"ETIC, Data Engineer, Senior Associate",PricewaterhouseCoopers,3 - 8 Years,Cairo - Egypt,"Design and optimize data pipelines using Azure and Databricks, ensuring data quality and governance while collaborating with cross-functional teams."
Senior Data Engineer,Unifonic,6 - 11 Years,Cairo - Egypt,"Responsible for building data lakes, evolving data architecture, and establishing best practices in data engineering with expertise in ETL and database technologies."
Data Engineer Senior Lead,EVA Pharma,7 - 12 Years,Egypt - Egypt,"Design and maintain ETL/ELT pipelines, ensure data accuracy, collaborate with AI/ML teams, and mentor data engineers with strong SQL and Python skills."
"Azure and Databricks Data Engineer, Senior Associate",PricewaterhouseCoopers,3 - 9 Years,Egypt - Egypt,"Design and optimize data pipelines using Azure Data Factory and Databricks, ensuring data quality and compliance while collaborating with cross-functional teams."
DevOps Data Engineer,Es'hailSat - the Qatar Satellite Company,5 - 10 Years,Doha - Qatar,"Design and manage CI/CD pipelines, automate workflows, and collaborate with teams to ensure data engineering excellence using cloud technologies and tools."
Senior Data Engineer,Atos,5 - 7 Years,Egypt - Egypt,"Design and maintain ETL pipelines, collaborate with stakeholders, utilize Snowflake and Python, and implement data solutions in an agile environment."
"Data Engineer, Senior Associate",PricewaterhouseCoopers,3 - 8 Years,Egypt - Egypt,"Design and maintain data pipelines using Azure Data Factory and Databricks, ensuring data quality and governance with strong Python and SQL skills."
"ETIC, Data Engineer, Senior Associate",PricewaterhouseCoopers,5 - 7 Years,Egypt - Egypt,"Seeking a Data Engineer to build data pipelines, write SQL queries, ensure data integrity, and collaborate with stakeholders in Azure Cloud environments."
Senior Data Engineer,Foodics,5 - 7 Years,Dubai - United Arab Emirates,"Responsible for designing scalable data pipelines, enforcing data contracts, and collaborating with teams while ensuring data security and compliance."
Data Engineer,flyadeal Egypt,1 - 2 Years,Jeddah - Saudi Arabia,"Responsible for managing SQL database objects, developing high-quality code, and implementing data analytics initiatives while collaborating with various business functions."
Senior Data Engineer,Salla,5 - 10 Years,Al Madina Al Munawarah - Saudi Arabia,"Design and maintain scalable data pipelines, optimize data systems, ensure data quality, and mentor junior engineers with expertise in ClickHouse and real-time processing."
